subject_id,object_id,predicate_id,confidence,mapping_tool_id,comment
http://www.w3id.org/animl/ontology/units,http://qudt.org/schema/qudt#SystemOfUnits,owl:equivalentClass,0.9970190525054932,BERTmap,
http://www.w3id.org/animl/ontology/specification,http://purl.allotrope.org/ontologies/result#AFR_0000957,owl:equivalentClass,1.000000238,DistMult,
http://www.w3id.org/animl/ontology/signature,http://purl.allotrope.org/ontologies/result#AFR_0001963,owl:equivalentClass,1.000000238,DistMult,
http://www.w3id.org/animl/ontology/Reference,http://purl.allotrope.org/ontologies/result#AFR_0002008,owl:equivalentClass,1.000000119209289,DistMult,
http://www.w3id.org/animl/ontology/function,http://purl.obolibrary.org/obo/BFO_0000034,owl:equivalentClass,1.000000119209289,DistMult,
http://www.w3id.org/animl/ontology/experiment,http://purl.allotrope.org/ontologies/process#AFP_0003735,owl:equivalentClass,1.000000119209289,DistMult,
http://www.w3id.org/animl/ontology/agent,http://purl.allotrope.org/ontologies/result#AFR_0003144,owl:equivalentClass,1.000000119209289,DistMult,
http://www.w3id.org/animl/ontology/role,http://purl.obolibrary.org/obo/BFO_0000023,owl:equivalentClass,1,DistMult,
http://www.w3id.org/animl/ontology/document,http://purl.obolibrary.org/obo/IAO_0000310,owl:equivalentClass,1,DistMult,
http://www.w3id.org/animl/ontology/series,http://purl.allotrope.org/ontologies/common#AFC_0000162,owl:equivalentClass,0.99999994,DistMult,
http://www.w3id.org/animl/ontology/container,http://purl.allotrope.org/ontologies/equipment#AFE_0000407,owl:equivalentClass,0.999999881,DistMult,
http://www.w3id.org/animl/ontology/ItemSpecification,http://purl.allotrope.org/ontologies/result#AFR_0002508,owl:equivalentClass,0.70835644,DistMult,
http://www.w3id.org/animl/ontology/Parameter,http://purl.allotrope.org/ontologies/role#AFRL_0000019,owl:equivalentClass,0.68071425,DistMult,
http://www.w3id.org/animl/ontology/series,http://purl.allotrope.org/ontologies/common#AFC_0000162,owl:equivalentClass,1.000000238,TransD,
http://www.w3id.org/animl/ontology/agent,http://purl.allotrope.org/ontologies/result#AFR_0003144,owl:equivalentClass,1.000000238,TransD,
http://www.w3id.org/animl/ontology/signature,http://purl.allotrope.org/ontologies/result#AFR_0001963,owl:equivalentClass,1.000000119209289,TransD,
http://www.w3id.org/animl/ontology/container,http://purl.allotrope.org/ontologies/equipment#AFE_0000407,owl:equivalentClass,1.000000119209289,TransD,
http://www.w3id.org/animl/ontology/specification,http://purl.allotrope.org/ontologies/result#AFR_0000957,owl:equivalentClass,1,TransD,
http://www.w3id.org/animl/ontology/role,http://purl.obolibrary.org/obo/BFO_0000023,owl:equivalentClass,1,TransD,
http://www.w3id.org/animl/ontology/experiment,http://purl.allotrope.org/ontologies/process#AFP_0003735,owl:equivalentClass,1,TransD,
http://www.w3id.org/animl/ontology/document,http://purl.obolibrary.org/obo/IAO_0000310,owl:equivalentClass,1,TransD,
http://www.w3id.org/animl/ontology/function,http://purl.obolibrary.org/obo/BFO_0000034,owl:equivalentClass,0.99999994,TransD,
http://www.w3id.org/animl/ontology/Reference,http://purl.allotrope.org/ontologies/result#AFR_0002008,owl:equivalentClass,0.999999881,TransD,
http://www.w3id.org/animl/ontology/Parameter,http://purl.allotrope.org/ontologies/role#AFRL_0000019,owl:equivalentClass,0.701875925,TransD,
http://www.w3id.org/animl/ontology/specification,http://purl.allotrope.org/ontologies/result#AFR_0000957,owl:equivalentClass,1.000000476837158,TransE,
http://www.w3id.org/animl/ontology/experiment,http://purl.allotrope.org/ontologies/process#AFP_0003735,owl:equivalentClass,1.000000119209289,TransE,
http://www.w3id.org/animl/ontology/signature,http://purl.allotrope.org/ontologies/result#AFR_0001963,owl:equivalentClass,1,TransE,
http://www.w3id.org/animl/ontology/series,http://purl.allotrope.org/ontologies/common#AFC_0000162,owl:equivalentClass,1,TransE,
http://www.w3id.org/animl/ontology/Reference,http://purl.allotrope.org/ontologies/result#AFR_0002008,owl:equivalentClass,1,TransE,
http://www.w3id.org/animl/ontology/container,http://purl.allotrope.org/ontologies/equipment#AFE_0000407,owl:equivalentClass,1,TransE,
http://www.w3id.org/animl/ontology/agent,http://purl.allotrope.org/ontologies/result#AFR_0003144,owl:equivalentClass,1,TransE,
http://www.w3id.org/animl/ontology/role,http://purl.obolibrary.org/obo/BFO_0000023,owl:equivalentClass,0.99999994,TransE,
http://www.w3id.org/animl/ontology/function,http://purl.obolibrary.org/obo/BFO_0000034,owl:equivalentClass,0.999999881,TransE,
http://www.w3id.org/animl/ontology/document,http://purl.obolibrary.org/obo/IAO_0000310,owl:equivalentClass,0.999999821,TransE,
http://www.w3id.org/animl/ontology/Reference,http://purl.allotrope.org/ontologies/result#AFR_0002008,owl:equivalentClass,1.000000357627868,CompGCN,
http://www.w3id.org/animl/ontology/specification,http://purl.allotrope.org/ontologies/result#AFR_0000957,owl:equivalentClass,1.000000119209289,CompGCN,
http://www.w3id.org/animl/ontology/signature,http://purl.allotrope.org/ontologies/result#AFR_0001963,owl:equivalentClass,1.000000119209289,CompGCN,
http://www.w3id.org/animl/ontology/role,http://purl.obolibrary.org/obo/BFO_0000023,owl:equivalentClass,1.000000119209289,CompGCN,
http://www.w3id.org/animl/ontology/experiment,http://purl.allotrope.org/ontologies/process#AFP_0003735,owl:equivalentClass,1.000000119209289,CompGCN,
http://www.w3id.org/animl/ontology/document,http://purl.obolibrary.org/obo/IAO_0000310,owl:equivalentClass,0.999999881,CompGCN,
http://www.w3id.org/animl/ontology/container,http://purl.allotrope.org/ontologies/equipment#AFE_0000407,owl:equivalentClass,0.999999881,CompGCN,
http://www.w3id.org/animl/ontology/agent,http://purl.allotrope.org/ontologies/result#AFR_0003144,owl:equivalentClass,0.999999881,CompGCN,
http://www.w3id.org/animl/ontology/series,http://purl.allotrope.org/ontologies/common#AFC_0000162,owl:equivalentClass,0.999999821,CompGCN,
http://www.w3id.org/animl/ontology/function,http://purl.obolibrary.org/obo/BFO_0000034,owl:equivalentClass,0.999999821,CompGCN,
http://www.w3id.org/animl/ontology/ItemSpecification,http://purl.allotrope.org/ontologies/result#AFR_0001285,owl:equivalentClass,0.726136148,CompGCN,
http://www.w3id.org/animl/ontology/series,http://purl.allotrope.org/ontologies/common#AFC_0000162,owl:equivalentClass,1.000000357627868,ConvE,
http://www.w3id.org/animl/ontology/document,http://purl.obolibrary.org/obo/IAO_0000310,owl:equivalentClass,1.000000238,ConvE,
http://www.w3id.org/animl/ontology/Reference,http://purl.allotrope.org/ontologies/result#AFR_0002008,owl:equivalentClass,1.000000119209289,ConvE,
http://www.w3id.org/animl/ontology/container,http://purl.allotrope.org/ontologies/equipment#AFE_0000407,owl:equivalentClass,1.000000119209289,ConvE,
http://www.w3id.org/animl/ontology/specification,http://purl.allotrope.org/ontologies/result#AFR_0000957,owl:equivalentClass,1,ConvE,
http://www.w3id.org/animl/ontology/function,http://purl.obolibrary.org/obo/BFO_0000034,owl:equivalentClass,1,ConvE,
http://www.w3id.org/animl/ontology/role,http://purl.obolibrary.org/obo/BFO_0000023,owl:equivalentClass,0.99999994,ConvE,
http://www.w3id.org/animl/ontology/agent,http://purl.allotrope.org/ontologies/result#AFR_0003144,owl:equivalentClass,0.99999994,ConvE,
http://www.w3id.org/animl/ontology/experiment,http://purl.allotrope.org/ontologies/process#AFP_0003735,owl:equivalentClass,0.999999702,ConvE,
http://www.w3id.org/animl/ontology/signature,http://purl.allotrope.org/ontologies/result#AFR_0001963,owl:equivalentClass,0.999999344,ConvE,
